epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.4916,1.63399,3.93143,1.36151,0.01766,0.5576,0.25889,0.07775,1.90494,3.64296,1.41124,1.25e-05,1.25e-05,1.25e-05
2,15.9961,1.72688,3.95953,1.44091,0.01746,0.5435,0.25711,0.078,1.88476,3.63974,1.38981,3.68813e-05,3.68813e-05,3.68813e-05
3,18.4499,1.70058,3.89429,1.35801,0.13959,0.60423,0.31247,0.13373,1.44413,2.62991,1.19566,6.04375e-05,6.04375e-05,6.04375e-05
4,27.7162,1.38499,2.29025,1.29776,0.73534,0.43103,0.6611,0.31719,1.37155,8.27813,1.21479,8.31687e-05,8.31687e-05,8.31687e-05
5,31.5929,1.2178,1.24361,1.1872,0.76175,0.74138,0.70455,0.38252,1.24323,3.60811,1.1441,0.000105075,0.000105075,0.000105075
6,38.0036,1.20216,0.98468,1.19835,0.65259,0.84914,0.77906,0.40288,1.38245,3.33112,1.2204,0.000126156,0.000126156,0.000126156
7,41.2104,1.1617,0.87674,1.1393,0.54369,0.51109,0.49481,0.32428,1.6848,2.82966,1.57642,0.000146413,0.000146413,0.000146413
8,43.9323,1.13877,0.90698,1.12012,0.56578,0.5819,0.55039,0.35316,1.28035,1.81067,1.21037,0.000165844,0.000165844,0.000165844
9,46.6742,1.05838,0.79875,1.08809,0.81501,0.64655,0.77916,0.36967,1.32236,1.5039,1.21867,0.00018445,0.00018445,0.00018445
10,49.6728,1.00297,0.70654,1.03926,0.89082,0.68103,0.78975,0.53677,1.3545,1.12508,1.24519,0.000202231,0.000202231,0.000202231
11,58.5325,1.02387,0.70566,1.04987,0.60217,0.86638,0.74826,0.52056,1.33456,2.47258,1.21258,0.000219188,0.000219188,0.000219188
12,61.6729,1.04023,0.70419,1.02845,0.47968,0.83916,0.62517,0.4036,1.3954,5.32063,1.25019,0.000235319,0.000235319,0.000235319
13,64.349,0.99907,0.6836,1.01195,0.43585,0.81466,0.56041,0.40574,1.16612,6.37197,1.12696,0.000250625,0.000250625,0.000250625
14,67.1048,0.98577,0.71314,1.01671,0.49311,0.82328,0.6627,0.484,1.19135,5.00596,1.12657,0.000265106,0.000265106,0.000265106
15,69.759,0.98048,0.66519,1.02766,0.65697,0.84914,0.74214,0.51907,1.21218,2.09357,1.16838,0.000278762,0.000278762,0.000278762
16,72.9343,0.95594,0.66192,1.01121,0.62391,0.84052,0.80279,0.57879,1.30896,1.19208,1.2142,0.000291594,0.000291594,0.000291594
17,78.828,0.9792,0.64924,1.00863,0.67224,0.8319,0.80979,0.52276,1.33841,0.9582,1.2285,0.0003036,0.0003036,0.0003036
18,81.5604,0.95447,0.65651,1.02299,0.62427,0.8319,0.82658,0.56131,1.25514,0.93836,1.18737,0.000314781,0.000314781,0.000314781
19,84.4167,0.96367,0.66944,1.01565,0.59717,0.84914,0.81544,0.57342,1.18182,1.08534,1.1225,0.000325137,0.000325137,0.000325137
20,88.7591,0.94014,0.63584,1.00216,0.84445,0.61545,0.8185,0.52962,1.25615,1.10244,1.14538,0.000334669,0.000334669,0.000334669
