epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
21,91.4178,0.97121,0.60432,1.02275,0.94306,0.64279,0.83696,0.61318,1.13303,0.90637,1.09029,0.000343375,0.000343375,0.000343375
22,94.4105,0.93353,0.60299,1.02564,0.73076,0.79695,0.83816,0.6086,1.16222,0.934,1.09826,0.000351256,0.000351256,0.000351256
23,98.4211,0.97329,0.66308,1.01349,0.68626,0.82545,0.83873,0.60649,1.15741,0.94622,1.10829,0.000358313,0.000358313,0.000358313
24,101.437,0.91448,0.57967,0.98596,0.72736,0.92021,0.92401,0.63351,1.23728,1.14287,1.16237,0.000364544,0.000364544,0.000364544
25,107.902,0.9366,0.62261,1.00406,0.77464,0.85301,0.90807,0.60825,1.17206,1.15881,1.13805,0.00036995,0.00036995,0.00036995
26,110.808,0.9142,0.54916,0.96027,0.83519,0.8244,0.89857,0.60818,1.18482,1.1063,1.1491,0.000374531,0.000374531,0.000374531
27,115.952,0.89986,0.55628,0.99928,0.84143,0.84536,0.91982,0.66482,1.11406,0.91571,1.11992,0.000378287,0.000378287,0.000378287
28,119.317,0.87953,0.58706,0.9907,0.84143,0.84536,0.91982,0.66482,1.11406,0.91571,1.11992,0.000381219,0.000381219,0.000381219
29,128.026,0.84974,0.55062,0.97008,0.85957,0.83796,0.91669,0.62833,1.15585,1.00056,1.12372,0.000383325,0.000383325,0.000383325
30,130.887,0.84619,0.52442,0.95699,0.80852,0.85536,0.92375,0.64006,1.33098,1.21125,1.25408,0.000384606,0.000384606,0.000384606
31,133.916,1.00564,0.62035,1.02853,0.80852,0.85536,0.92375,0.64006,1.33098,1.21125,1.25408,0.000385062,0.000385062,0.000385062
32,138.159,0.92645,0.60972,0.98229,0.78616,0.87618,0.92933,0.64341,1.23429,1.15709,1.18101,0.000384694,0.000384694,0.000384694
33,140.904,0.89212,0.68503,0.99841,0.80397,0.82597,0.9168,0.61255,1.08333,0.96225,1.06974,0.0003835,0.0003835,0.0003835
34,143.548,0.9803,0.57567,0.99299,0.80397,0.82597,0.9168,0.61255,1.08333,0.96225,1.06974,0.000381481,0.000381481,0.000381481
35,146.565,0.89056,0.55983,0.98705,0.84687,0.88503,0.91215,0.65647,1.09626,0.92703,1.08908,0.000378637,0.000378637,0.000378637
36,149.287,0.82623,0.56077,0.96978,0.82836,0.93424,0.91119,0.63355,1.24209,1.01162,1.16161,0.000374969,0.000374969,0.000374969
37,151.997,0.84338,0.49789,0.96028,0.82836,0.93424,0.91119,0.63355,1.24209,1.01162,1.16161,0.000370475,0.000370475,0.000370475
38,154.733,0.82493,0.49833,0.96448,0.89256,0.90028,0.92016,0.66768,1.10957,0.97431,1.09088,0.000365156,0.000365156,0.000365156
39,160.936,0.79115,0.51244,0.94355,0.83068,0.93429,0.90967,0.68208,1.06013,0.83937,1.06803,0.000359013,0.000359013,0.000359013
40,165.599,0.83242,0.48497,0.97462,0.83068,0.93429,0.90967,0.68208,1.06013,0.83937,1.06803,0.000352044,0.000352044,0.000352044
41,168.855,0.79135,0.48025,0.93969,0.85378,0.90681,0.90667,0.67073,1.13787,0.84599,1.10199,0.00034425,0.00034425,0.00034425
42,171.875,0.8224,0.51112,0.97483,0.83513,0.90579,0.92184,0.678,1.03689,0.81894,1.05811,0.000335631,0.000335631,0.000335631
43,177.116,0.7852,0.49136,0.95911,0.83513,0.90579,0.92184,0.678,1.03689,0.81894,1.05811,0.000326188,0.000326188,0.000326188
44,179.882,0.75669,0.47362,0.9395,0.83266,0.90555,0.92219,0.6939,1.03714,0.80759,1.0552,0.000315919,0.000315919,0.000315919
45,187.487,0.7205,0.4445,0.9321,0.83266,0.90555,0.92219,0.6939,1.03714,0.80759,1.0552,0.000304825,0.000304825,0.000304825
46,191.081,0.8123,0.48263,0.92541,0.87827,0.89969,0.92353,0.65261,1.09775,0.81216,1.0671,0.000292906,0.000292906,0.000292906
47,194.058,0.67852,0.42027,0.90035,0.87827,0.89969,0.92353,0.65261,1.09775,0.81216,1.0671,0.000280162,0.000280162,0.000280162
48,199.823,0.73841,0.4448,0.92266,0.88885,0.91693,0.92081,0.67458,1.04758,0.84222,1.04989,0.000266594,0.000266594,0.000266594
49,202.717,0.72683,0.42365,0.91455,0.88885,0.91693,0.92081,0.67458,1.04758,0.84222,1.04989,0.0002522,0.0002522,0.0002522
50,205.653,0.74969,0.44046,0.93759,0.8582,0.90785,0.90833,0.64429,1.04706,0.84303,1.04658,0.000236981,0.000236981,0.000236981
51,211.237,0.77754,0.59481,0.96849,0.8582,0.90785,0.90833,0.64429,1.04706,0.84303,1.04658,0.00021875,0.00021875,0.00021875
52,214.059,0.72464,0.51895,0.91877,0.84867,0.85299,0.90665,0.63887,1.07221,0.8642,1.05385,0.000198125,0.000198125,0.000198125
53,216.878,0.74289,0.4612,0.96761,0.84867,0.85299,0.90665,0.63887,1.07221,0.8642,1.05385,0.0001775,0.0001775,0.0001775
54,219.979,0.71745,0.4338,0.92569,0.78243,0.92036,0.90926,0.64574,1.07939,0.90881,1.05419,0.000156875,0.000156875,0.000156875
55,222.653,0.68292,0.44141,0.90736,0.78243,0.92036,0.90926,0.64574,1.07939,0.90881,1.05419,0.00013625,0.00013625,0.00013625
56,225.709,0.68734,0.438,0.90262,0.79025,0.92024,0.91166,0.64695,1.07536,0.86064,1.05189,0.000115625,0.000115625,0.000115625
57,228.411,0.65389,0.41155,0.87345,0.79025,0.92024,0.91166,0.64695,1.07536,0.86064,1.05189,9.5e-05,9.5e-05,9.5e-05
58,231.521,0.69563,0.4402,0.89756,0.79911,0.90755,0.91459,0.6379,1.0741,0.80641,1.05223,7.4375e-05,7.4375e-05,7.4375e-05
59,234.174,0.65865,0.41048,0.90626,0.79911,0.90755,0.91459,0.6379,1.0741,0.80641,1.05223,5.375e-05,5.375e-05,5.375e-05
60,236.968,0.63378,0.39696,0.89298,0.82889,0.87967,0.91706,0.65308,1.07299,0.78475,1.05097,3.3125e-05,3.3125e-05,3.3125e-05
