epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,285.426,0.87373,0.54383,0.97661,0.87594,0.88889,0.86246,0.62613,1.18166,0.68103,1.16702,0.000359409,0.000359409,0.000359409
43,291.578,0.8573,0.52167,0.9661,0.87502,0.86359,0.88306,0.65097,1.16742,0.69465,1.14057,0.000341077,0.000341077,0.000341077
44,297.884,0.78639,0.49282,0.93414,0.82385,0.87397,0.86024,0.62514,1.0857,0.76293,1.06824,0.000322745,0.000322745,0.000322745
45,304.046,0.80431,0.50151,0.9316,0.83186,0.93513,0.86856,0.6222,1.05347,0.75701,1.05564,0.000304414,0.000304414,0.000304414
46,310.474,0.77191,0.46527,0.9281,0.74396,0.94444,0.83363,0.62256,1.04891,0.72183,1.0707,0.000286083,0.000286083,0.000286083
47,316.625,0.77295,0.47814,0.93576,0.84354,0.88889,0.88867,0.66358,1.05726,0.65408,1.08118,0.000267751,0.000267751,0.000267751
48,322.943,0.75276,0.46795,0.93323,0.87021,0.88611,0.87354,0.63453,1.15903,0.76163,1.13703,0.00024942,0.00024942,0.00024942
49,329.124,0.77174,0.4553,0.93592,0.86177,0.88094,0.87767,0.64758,1.15453,0.79867,1.12965,0.000231088,0.000231088,0.000231088
50,335.512,0.75942,0.45384,0.93318,0.8709,0.8769,0.85944,0.63111,1.11729,0.77464,1.09728,0.000212757,0.000212757,0.000212757
51,343.075,0.78175,0.46135,0.92822,0.87749,0.87815,0.88007,0.65649,1.1305,0.72144,1.08734,0.000194425,0.000194425,0.000194425
52,349.425,0.71593,0.41756,0.90478,0.88813,0.86713,0.86004,0.63756,1.15123,0.80553,1.08271,0.000176094,0.000176094,0.000176094
53,355.688,0.70111,0.41338,0.90909,0.8375,0.88889,0.84676,0.62752,1.15406,0.86842,1.08328,0.000157762,0.000157762,0.000157762
54,362.041,0.73411,0.42563,0.92584,0.82957,0.88889,0.8424,0.62642,1.14562,0.82666,1.09481,0.000139431,0.000139431,0.000139431
55,368.3,0.69296,0.3984,0.90708,0.87872,0.87751,0.86447,0.64114,1.17076,0.78171,1.1355,0.000121099,0.000121099,0.000121099
56,374.678,0.70029,0.39787,0.90123,0.82635,0.93731,0.87513,0.61665,1.17511,0.75481,1.14526,0.000102768,0.000102768,0.000102768
57,380.817,0.69588,0.41242,0.90189,0.87365,0.87768,0.87046,0.62134,1.15178,0.71179,1.14445,8.4436e-05,8.4436e-05,8.4436e-05
58,387.213,0.69039,0.40016,0.91071,0.87499,0.88157,0.85784,0.63212,1.11825,0.68671,1.14034,6.61045e-05,6.61045e-05,6.61045e-05
59,393.355,0.65482,0.38228,0.90537,0.87848,0.88552,0.85823,0.64887,1.12804,0.69209,1.1436,4.7773e-05,4.7773e-05,4.7773e-05
60,399.665,0.69226,0.40322,0.91945,0.88047,0.88815,0.85823,0.64855,1.14304,0.69309,1.14795,2.94415e-05,2.94415e-05,2.94415e-05
