epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.2682,1.669,3.54582,1.35565,0.3243,0.56667,0.61127,0.38084,1.41974,6.22113,1.13087,8.888e-05,8.888e-05,8.888e-05
2,37.5545,1.27767,1.32098,1.17891,0.90465,0.98127,0.93571,0.64977,1.11377,2.1275,1.00651,0.000185754,0.000185754,0.000185754
3,47.82,1.26239,1.10467,1.13959,0.74431,0.83333,0.839,0.57506,0.99979,2.08237,0.98279,0.000279328,0.000279328,0.000279328
4,54.8878,1.31069,1.05291,1.14894,0.49678,0.65,0.64947,0.45921,1.21283,2.26136,1.22511,0.000369602,0.000369602,0.000369602
5,62.2497,1.21003,0.93461,1.11108,0.64326,0.8917,0.79883,0.43248,1.78497,2.84596,1.67766,0.000456577,0.000456577,0.000456577
6,69.4147,1.1859,0.87111,1.09898,0.85125,0.82492,0.86075,0.53321,1.5137,1.99827,1.42112,0.000540252,0.000540252,0.000540252
7,76.8733,1.17461,0.88082,1.08878,0.75103,0.83333,0.82482,0.50766,1.48396,2.72212,1.5028,0.000620627,0.000620627,0.000620627
8,84.4284,1.1427,0.95954,1.10563,0.91133,0.66667,0.8187,0.53462,1.32955,1.55636,1.35409,0.000697702,0.000697702,0.000697702
9,91.7015,1.15786,0.91184,1.09226,0.7855,0.87634,0.90268,0.58268,1.43592,1.88178,1.3735,0.000771478,0.000771478,0.000771478
10,99.024,1.15094,0.92449,1.09127,0.67803,0.82281,0.81208,0.42013,1.80138,6.34539,1.73406,0.000841955,0.000841955,0.000841955
11,106.232,1.15699,0.90462,1.10316,0.83374,0.63333,0.74294,0.37253,1.96124,2.69318,1.72326,0.000909131,0.000909131,0.000909131
12,113.696,1.2224,0.88005,1.10045,0.68224,0.71667,0.72498,0.35261,1.8926,4.62759,1.58569,0.000909353,0.000909353,0.000909353
13,121.272,1.19359,0.84252,1.11275,0.79216,0.90261,0.90483,0.49867,1.61486,2.37785,1.38541,0.000891022,0.000891022,0.000891022
14,128.906,1.1523,0.77983,1.08374,0.76987,1,0.929,0.54802,1.47367,2.21244,1.36097,0.000872691,0.000872691,0.000872691
15,136.394,1.12557,0.75998,1.0705,0.94139,0.81667,0.95833,0.49866,1.67234,1.4495,1.43891,0.000854359,0.000854359,0.000854359
16,143.975,1.193,0.76993,1.10825,0.66742,0.75,0.8647,0.49482,1.38874,1.54258,1.3085,0.000836027,0.000836027,0.000836027
17,151.6,1.12322,0.7119,1.07646,0.7738,0.65,0.80799,0.54895,1.14767,1.26929,1.19548,0.000817696,0.000817696,0.000817696
18,159.395,1.14824,0.6913,1.10302,0.83956,0.81667,0.92333,0.63828,1.33478,0.92285,1.23441,0.000799365,0.000799365,0.000799365
19,167.037,1.08145,0.71213,1.06121,0.87309,0.94331,0.94667,0.62001,1.20616,0.94539,1.09511,0.000781033,0.000781033,0.000781033
20,174.833,1.08653,0.6943,1.06097,0.89467,0.93914,0.98357,0.67737,1.21981,0.75567,1.20467,0.000762702,0.000762702,0.000762702
21,182.862,1.11008,0.6908,1.06562,0.79849,0.93522,0.94405,0.62964,1.24724,0.9639,1.29834,0.00074437,0.00074437,0.00074437
22,190.682,1.03825,0.67697,1.05056,0.72413,1,0.92086,0.56571,1.50091,1.00866,1.34833,0.000726038,0.000726038,0.000726038
23,198.2,1.05113,0.65456,1.05043,0.84977,1,0.95375,0.58819,1.31513,0.97733,1.25016,0.000707707,0.000707707,0.000707707
24,205.783,1.01004,0.65053,1.033,0.86335,0.9575,0.9325,0.61705,1.18967,0.85828,1.17677,0.000689376,0.000689376,0.000689376
25,213.386,0.97055,0.62892,1.02155,0.92724,0.92766,0.98357,0.65663,1.13945,0.76019,1.11568,0.000671044,0.000671044,0.000671044
26,221.113,0.99433,0.61617,1.01952,0.84894,0.9882,0.98357,0.70601,1.06856,0.73044,1.02791,0.000652712,0.000652712,0.000652712
27,234.351,0.98282,0.62988,1.02909,0.98546,0.9674,0.995,0.64442,1.27846,0.73051,1.0805,0.000634381,0.000634381,0.000634381
28,241.89,0.96148,0.6117,0.99909,0.84097,0.91667,0.95192,0.68257,1.16939,0.89875,1.10095,0.000616049,0.000616049,0.000616049
29,249.58,0.94117,0.62313,1.01142,0.82114,1,0.97143,0.61165,1.39047,0.71874,1.23358,0.000597718,0.000597718,0.000597718
30,257.506,0.93276,0.59277,0.97814,0.84365,1,0.9325,0.61093,1.37674,0.78109,1.26334,0.000579386,0.000579386,0.000579386
